Feature,Coefficient,Intercept,R^2
RIAGENDR,1.10004779265058,2.3794449435241205,0.009357900397667707
RIDAGEYR,-0.01440824264554845,4.9016023435269345,0.0018861050247718225
RIDRETH3,-0.1573503691566195,4.600170180872668,0.0016368665235920732
DMDBORN4,-0.10813314621281214,4.192872423667033,0.0005122573359356286
DMDYRUSZ,0.012333608845809732,3.9755681006916026,0.00033813597434795284
DMDEDUC2,-0.48090976387799556,5.71498674947024,0.010543485991143964
DMDMARTZ,0.06999128517170534,3.941204935158707,0.0011717070235656157
INDFMPIR,-0.5554012717833091,5.445551670364161,0.02081411040980785
BMXWT,0.016259760590067642,2.656024810037564,0.004275260761137378
BMXHT,-0.03527541092825561,9.916810574870823,0.0036108071104198336
BMXBMI,0.07425396147529317,1.744922094639725,0.009575741198794452
DBQ229,-0.1932620176322995,4.479898068994167,0.0008400507853923989
DBQ235A,0.08031328727221283,3.837757959985931,0.0001455753238517321
DBQ235B,-0.015117853370690403,4.095854435954674,5.397652176220014e-06
DBQ235C,-0.04606423838491578,4.158359822762062,4.8901596021444504e-05
DBQ700,1.210310593844862,0.3449513709935411,0.050769604886148456
DBQ301,-2.1829973176088613,8.272000681744686,0.0053898192636644415
DBQ330,0.3549366582471531,3.3717872539961897,0.0002173361873177848
DBQ197,-0.08961210977980062,4.2082386988547515,0.0003151859125477552
DBQ223A,-0.010060737108999917,4.165897463181076,4.879245735045501e-05
DBD895,-5.031086639280867e-05,4.059202503850447,8.756699042877791e-06
DBD900,-0.00023475131126291491,4.0599793921576115,5.5952057674502065e-05
DBD905,-0.00013625667969373648,4.061696700300534,0.00012665595146366115
DBD910,0.000300531829046193,4.0513569912659735,0.0005535397414294652
DBQ940,-0.09851546737246424,4.196553774701531,7.271035078904031e-05
DBQ945,-0.0553914504727621,4.140099163553893,2.383808079897687e-05
FSDHH,1.3387030303406384,1.730307159717824,0.05752632410115688
FSDAD,1.3303257083988012,1.7499787669219113,0.057314930966772315
FSD151,-1.551521770905316,6.936936663520543,0.014351229591528791
FSQ165,-0.828116033082835,5.384956793732214,0.011996950317797572
FSQ012,-0.6344425189111902,4.967139552134608,0.0019305040020274333
FSD230,-0.5788017812717382,4.7083025108240735,0.0007370558599335553
FSD162,0.11323543581397127,3.8361302232726824,6.190782112747151e-05
FSQ760,0.37166735659705774,3.6045784816324162,6.505412289536938e-05
FSD652ZW,-0.5067657214434798,4.930236337038933,0.0001939455557546932
FSD672ZW,0.03717716002394567,3.888960839391907,3.048194555965722e-05
FSD652CW,-0.5345120569671292,5.055536532011507,0.0002197351475663467
FSD660ZW,1.0318401937044102,2.2234512686011163,8.209798829428294e-05
DBQ360,-0.16154263640135577,4.335076955960636,3.4864873087459003e-06
DBQ370,-3.1202531645606655,7.1983162409296195,1.1409987493382623e-05
DBD381,-0.3250406900402108,5.027389254078553,0.00010029658643428974
DBQ390,-1.4512623841483587,6.4368966388727165,0.000215893954340185
