Feature,Coefficient,Intercept,Accuracy
RIAGENDR,0.4295249507910552,-0.900130722048532,0.5601307935059503
RIDAGEYR,-0.005574845137094192,0.08404429601045134,0.5601307935059503
RIDRETH3,-0.06419904223854715,-0.021237579221508877,0.5601307935059503
DMDBORN4,-0.14596642976893953,-0.062379539583405474,0.5601307935059503
DMDYRUSZ,0.0033554759933046873,-0.2642946099875362,0.5599406866659062
DMDEDUC2,-0.11215341347122794,0.14358900383033318,0.5484962548952511
DMDMARTZ,0.032840517203993,-0.2959878486176119,0.5605110071860385
INDFMPIR,-0.1793143218318242,0.20135221235271122,0.5752632979734611
BMXWT,0.007494829259996154,-0.8893986638962845,0.5749971483973993
BMXHT,-0.010618215522539946,1.5210810737847424,0.560853199498118
BMXBMI,0.03154603459472823,-1.2264266663581083,0.5807763963347401
DBQ229,0.01093250943068895,-0.26563094018035693,0.5601307935059503
DBQ235A,0.025137915326597943,-0.3107988767615004,0.5601307935059503
DBQ235B,-0.04442160414288341,-0.13206124264080654,0.5601307935059503
DBQ235C,-0.07667139448956423,-0.07585995559837823,0.5601307935059503
DBQ700,0.47042822386520866,-1.6998129480514763,0.6186456788715258
DBQ301,-0.30351758805762763,0.3440387584549945,0.5591042165697122
DBQ330,0.003820425342303407,-0.2490971382976211,0.5601307935059503
DBQ197,-0.054871016419198136,-0.15026108974146787,0.5601307935059503
DBQ223A,-0.0013484258016323101,-0.22729023922953132,0.5601307935059503
DBD895,-1.5082710746765987e-05,-0.241465748979718,0.5601307935059503
DBD900,-0.00013466682952284104,-0.24088976035772022,0.5601307935059503
DBD905,-1.6334486070875698e-05,-0.241306425126303,0.5601307935059503
DBD910,3.074392286605786e-05,-0.24241392213074292,0.559788601193871
DBQ940,-0.18678342679485763,0.019635325555010172,0.5601307935059503
DBQ945,-0.07236070782753376,-0.13509014200380157,0.5601307935059503
FSDHH,0.39055292541239295,-0.9245863611804694,0.6036272385080416
FSDAD,0.3890650874633735,-0.9203838932192133,0.6032090034599444
